algorithm,N,k,comparisons,time,entry_time
default_sort,774,1000000,0,4.7206878662109375e-05,1652157749.4810336
default_sort,2154,1000000,0,0.00013446807861328125,1652157749.4814646
merge_sort,2154,1000000,16135,0.013174772262573242,1652157749.4952257
quick_sort,774,100,8688,0.00415492057800293,1652157749.5001051
merge_sort,1291,1000,10003,0.008714675903320312,1652157749.5091312
radix_sort,1291,1000000,7746,0.0100860595703125,1652157749.5197253
quick_sort,1291,1000,14844,0.007424354553222656,1652157749.5276499
default_sort,10000,1000,0,0.0006654262542724609,1652157749.5287635
radix_sort,774,1000000,4644,0.006015300750732422,1652157749.537212
quick_sort,1291,1000000,16034,0.00878286361694336,1652157749.5462763
default_sort,1291,1000,0,7.176399230957031e-05,1652157749.5468173
quick_sort,2154,1000000,26546,0.014783382415771484,1652157749.5619862
merge_sort,774,1000,5169,0.004104137420654297,1652157749.5667145
radix_sort,464,100,928,0.0012993812561035156,1652157749.5682867
default_sort,278,1000000,0,1.8596649169921875e-05,1652157749.5686057
merge_sort,5994,1000000,51601,0.03924894332885742,1652157749.6080782
merge_sort,3593,1000000,30046,0.022489547729492188,1652157749.6321535
insertion_sort,166,100,13695,0.0038797855377197266,1652157749.6370966
merge_sort,5994,1000,57030,0.04218125343322754,1652157749.6795533
radix_sort,3593,100,7186,0.008828163146972656,1652157749.6899621
default_sort,774,100,0,3.8623809814453125e-05,1652157749.6909544
default_sort,278,100,0,1.3828277587890625e-05,1652157749.6912377
insertion_sort,1291,1000000,832695,0.2227330207824707,1652157749.9141157
merge_sort,278,100,1683,0.0013706684112548828,1652157749.9159415
radix_sort,1291,100,2582,0.0031456947326660156,1652157749.919233
radix_sort,464,1000000,2784,0.0034782886505126953,1652157749.9231021
radix_sort,2154,1000000,12924,0.01723933219909668,1652157749.9405167
insertion_sort,278,1000000,38503,0.01054239273071289,1652157749.9517145
insertion_sort,166,1000000,13695,0.0038416385650634766,1652157749.9557717
merge_sort,3593,1000,30881,0.02361011505126953,1652157749.9795353
insertion_sort,5994,1000,17961021,4.7574217319488525,1652157754.737977
merge_sort,464,1000,2941,0.002674579620361328,1652157754.7422416
quick_sort,46415,100,11132754,2.5078577995300293,1652159202.5914044
quick_sort,2154,10,239307,0.05425715446472168,1652159202.6572976
radix_sort,10000,100,20000,0.025377750396728516,1652159202.6833475
merge_sort,100000,100,1381443,0.9452476501464844,1652159203.6315758
radix_sort,21544,10,21544,0.03246641159057617,1652159203.6884227
quick_sort,4641,100,149904,0.04698324203491211,1652159203.740822
radix_sort,1000,100,2000,0.003699064254760742,1652159203.7457886
quick_sort,464,100,4775,0.0024487972259521484,1652159203.7487912
merge_sort,215,10,1054,0.0009207725524902344,1652159204.0461864
merge_sort,10000,10,101308,0.0743248462677002,1652159204.1206465
merge_sort,4641,10,46627,0.03504300117492676,1652159204.1582572
merge_sort,1000,10,7042,0.0055119991302490234,1652159206.2006044
merge_sort,46415,10,611469,0.4221808910369873,1652159206.9619722
merge_sort,21544,10,262119,0.18855762481689453,1652159207.1617408
quick_sort,464,10,12039,0.0033261775970458984,1652159207.1703396
merge_sort,10000,100,103504,0.08030366897583008,1652159207.2508967
radix_sort,100000,10,100000,0.14153742790222168,1652159207.395088
quick_sort,100,10,806,0.0003898143768310547,1652159207.4194448
merge_sort,100,100,498,0.00046181678771972656,1652159207.4200146
merge_sort,215,100,1214,0.0010602474212646484,1652159207.4211643
quick_sort,215,10,3171,0.0010776519775390625,1652159207.4223652
radix_sort,10000,10,10000,0.016737937927246094,1652159207.4392364
merge_sort,46415,100,587408,0.4140489101409912,1652159207.8558962
merge_sort,4641,100,44461,0.03360891342163086,1652159207.9008546
radix_sort,1000,10,1000,0.0014035701751708984,1652159207.903535
merge_sort,2154,100,17903,0.013924121856689453,1652159207.917784
quick_sort,1000,100,12444,0.005376338958740234,1652159207.9238446
radix_sort,464,10,464,0.0007314682006835938,1652159207.9249365
quick_sort,2154,100,40678,0.0166170597076416,1652159207.9417963
radix_sort,464,100,928,0.0011725425720214844,1652159207.943641
radix_sort,100,10,100,0.0001628398895263672,1652159207.9440165
quick_sort,4641,10,1089578,0.24181771278381348,1652159208.185925
radix_sort,46415,10,46415,0.06669807434082031,1652159208.2540095
radix_sort,100000,100,200000,0.27791929244995117,1652159208.5434456
radix_sort,2154,100,4308,0.005236387252807617,1652159208.5734196
merge_sort,100,10,497,0.00045680999755859375,1652159208.5744789
radix_sort,21544,100,43088,0.05532050132751465,1652159208.6299126
quick_sort,100,100,625,0.00033974647521972656,1652159208.6354976
radix_sort,215,10,215,0.00033664703369140625,1652159208.6359298
radix_sort,2154,10,2154,0.002956390380859375,1652159208.6390061
merge_sort,464,10,3083,0.002491474151611328,1652159208.642104
quick_sort,10000,100,573167,0.15049099922180176,1652159208.9078763
radix_sort,4641,100,9282,0.011606454849243164,1652159208.922037
radix_sort,100,100,200,0.0002930164337158203,1652159208.9241016
merge_sort,21544,100,249354,0.18289875984191895,1652159209.1071346
quick_sort,21544,100,2486433,0.6986715793609619,1652159209.8116636
merge_sort,100000,10,1376389,0.9762578010559082,1652159210.7933822
quick_sort,1000,10,54552,0.014119148254394531,1652159210.833021
radix_sort,4641,10,4641,0.007140398025512695,1652159211.7440782
quick_sort,215,100,1683,0.0008473396301269531,1652159211.7461908
merge_sort,1000,100,7043,0.007752656936645508,1652159211.7540987
radix_sort,46415,100,92830,0.1181952953338623,1652159211.8728912
merge_sort,2154,10,19495,0.016047954559326172,1652159211.90224
merge_sort,464,100,2986,0.002404451370239258,1652159211.9055421
radix_sort,215,100,430,0.0005552768707275391,1652159211.9062986
quick_sort,308,100000,2576,0.0013649463653564453,1652159859.5360723
quick_sort,790,100,8882,0.004029035568237305,1652159859.5403223
merge_sort,33932,10,436667,0.2950742244720459,1652159859.835818
radix_sort,175,1000,525,0.000751495361328125,1652159862.854277
quick_sort,1389,100000,16321,0.00809168815612793,1652159862.8624985
quick_sort,4291,10000000,56554,0.028811216354370117,1652159862.8917313
radix_sort,13257,100000,66285,0.09060359001159668,1652159862.983514
merge_sort,308,10000000,1683,0.0014045238494873047,1652159862.9884093
radix_sort,390693,10,390693,0.5751004219055176,1652159863.5653353
radix_sort,59636,100,119272,0.1557612419128418,1652159863.8162656
merge_sort,5179,1000,47437,0.03542971611022949,1652159863.8664935
merge_sort,6250,100,61142,0.04388833045959473,1652159863.9117923
quick_sort,542,100000,5076,0.0024957656860351562,1652159863.9159362
radix_sort,212,1000,636,0.00087738037109375,1652159863.9170184
radix_sort,120,10000000,840,0.0011866092681884766,1652159863.91832
merge_sort,828642,10000000,11563378,7.69618034362793,1652159871.617517
quick_sort,1151,10,71035,0.018860340118408203,1652159871.8389204
radix_sort,59636,100000,298180,0.40877461433410645,1652159872.2482624
merge_sort,222299,10000000,2772096,1.8839128017425537,1652159874.1468654
radix_sort,323745,10,323745,0.47735023498535156,1652159874.6783962
merge_sort,222299,10,3339013,2.2088422775268555,1652159876.9645624
radix_sort,10985,100000,54925,0.07714152336120605,1652159877.0948317
merge_sort,255,100,1411,0.0011661052703857422,1652159877.098782
radix_sort,655,1000,1965,0.0026743412017822266,1652159877.1015882
merge_sort,4291,10,41954,0.03125786781311035,1652159877.133079
radix_sort,471486,1000,1414458,2.005221128463745,1652159879.140058
radix_sort,2442,1000,7326,0.009867668151855469,1652159879.2634597
radix_sort,542,10000000,3794,0.005376100540161133,1652159879.2695167
radix_sort,372,100000,1860,0.0025634765625,1652159879.2723587
quick_sort,323745,1000,56626968,12.701586246490479,1652159891.9745817
radix_sort,449,10000000,3143,0.004238128662109375,1652159892.057127
radix_sort,49417,10000000,345919,0.4769320487976074,1652159892.5342882
radix_sort,100,10000000,700,0.0010228157043457031,1652159892.5472054
radix_sort,71968,1000,215904,0.30002331733703613,1652159892.8474267
quick_sort,71968,1000,3494777,1.0271999835968018,1652159893.891924
radix_sort,86851,1000,260553,0.3619265556335449,1652159894.271307
quick_sort,790,10,35097,0.009006500244140625,1652159894.3011322
radix_sort,120,100000,600,0.0008447170257568359,1652159894.302251
radix_sort,71968,100000,359840,0.497495174407959,1652159894.7999341
radix_sort,222299,10,222299,0.3264656066894531,1652159898.864323
quick_sort,390693,10000000,8890621,4.285980224609375,1652159903.2040606
radix_sort,1676,10,1676,0.00238800048828125,1652159903.3012683
radix_sort,1389,100,2778,0.0035529136657714844,1652159904.3262658
radix_sort,954,1000,2862,0.0038814544677734375,1652159904.330562
radix_sort,2442,10000000,17094,0.025124549865722656,1652159904.3559954
merge_sort,13257,1000,129463,0.09294366836547852,1652159904.4496908
merge_sort,49417,10,657032,0.4418635368347168,1652159906.3131802
quick_sort,5179,10,1365503,0.28473472595214844,1652159906.6101236
radix_sort,686648,100000,3433240,4.885136365890503,1652159911.497428
merge_sort,126485,1000,1670894,1.1211998462677002,1652159912.7819965
merge_sort,5179,100,49491,0.038054466247558594,1652159912.8505678
merge_sort,449,10000000,2791,0.0023267269134521484,1652159912.854314
merge_sort,2442,10,22089,0.01582479476928711,1652159912.8703423
radix_sort,7543,1000,22629,0.0316319465637207,1652159912.902717
radix_sort,390693,100000,1953465,2.7690420150756836,1652159915.6744037
radix_sort,828642,100,1657284,2.2194271087646484,1652159917.9882412
quick_sort,3556,10000000,53686,0.027962684631347656,1652159918.2150533
quick_sort,686648,1000,245122715,51.9807562828064,1652159970.1977334
radix_sort,19306,1000,57918,0.08242511749267578,1652159970.4449053
quick_sort,2442,1000,31636,0.016631364822387695,1652159970.947105
merge_sort,471486,10,7754522,5.073405981063843,1652159976.021965
radix_sort,6250,1000,18750,0.02615070343017578,1652159978.4770584
quick_sort,10985,10000000,177421,0.0856618881225586,1652159978.5645518
radix_sort,308,100,616,0.0008313655853271484,1652159978.5681725
quick_sort,323745,100000,7240845,3.4207704067230225,1652159981.989409
quick_sort,59636,10000000,1165442,0.5334908962249756,1652159982.6009905
radix_sort,308,10,308,0.0004951953887939453,1652159982.616006
quick_sort,5179,100000,75020,0.03901791572570801,1652159982.6551933
quick_sort,372,100000,3492,0.0020830631256103516,1652159982.6591065
quick_sort,790,1000,9005,0.0044291019439697266,1652159982.663738
radix_sort,1151,100,2302,0.0029473304748535156,1652159982.6669545
merge_sort,40949,100,511922,0.3479928970336914,1652159983.0153508
radix_sort,7543,10000000,52801,0.0742638111114502,1652159983.0994883
merge_sort,372,100,2434,0.0019230842590332031,1652159984.028542
merge_sort,212,10000000,1073,0.0009129047393798828,1652159984.029624
merge_sort,71968,1000,895011,0.6104762554168701,1652159984.6402917
radix_sort,10985,100,21970,0.029754638671875,1652159984.6874478
merge_sort,4291,100,39724,0.029942035675048828,1652159984.720497
radix_sort,268269,1000,804807,1.1430974006652832,1652159985.8651593
radix_sort,120,1000,360,0.0005280971527099609,1652159985.9300046
radix_sort,40949,1000,122847,0.178741455078125,1652159986.1088893
radix_sort,15998,1000,47994,0.06655311584472656,1652159986.1852949
quick_sort,212,100,1769,0.0008409023284912109,1652159986.1901243
radix_sort,175,10,175,0.00027823448181152344,1652159986.1905231
quick_sort,2023,10000000,24027,0.012203454971313477,1652159986.202835
radix_sort,40949,100000,204745,0.27982306480407715,1652159986.4833584
quick_sort,9102,100,483973,0.1259751319885254,1652159986.6192741
merge_sort,145,10000000,677,0.0006000995635986328,1652159986.6222148
merge_sort,10985,10,123602,0.08676028251647949,1652159986.7090917
quick_sort,184206,1000,19384744,4.829898834228516,1652159991.5419257
merge_sort,145,10,780,0.0007727146148681641,1652159991.5908315
quick_sort,145,10,1540,0.0007245540618896484,1652159991.5918615
quick_sort,3556,100,92040,0.0359957218170166,1652159991.6279762
quick_sort,1389,1000,16917,0.010614871978759766,1652159991.6396868
radix_sort,222299,10000000,1556093,2.7894890308380127,1652159994.4308293
quick_sort,19306,100000,315874,0.16390132904052734,1652159994.648459
quick_sort,104811,10000000,2095705,1.0829107761383057,1652159995.7362556
merge_sort,449,1000,2805,0.0022857189178466797,1652159995.7660391
quick_sort,568986,100000,14224198,6.517365217208862,1652160002.2842317
merge_sort,3556,100,32157,0.02462005615234375,1652160002.4466548
radix_sort,1676,100000,8380,0.011978626251220703,1652160002.4597712
merge_sort,372,10000000,2256,0.0018222332000732422,1652160002.4622471
quick_sort,33932,100,6012370,1.3465495109558105,1652160003.8089926
merge_sort,372,10,2422,0.0019369125366210938,1652160003.8192189
radix_sort,222299,100000,1111495,1.8982441425323486,1652160005.7178426
radix_sort,372,10000000,2604,0.0035381317138671875,1652160005.7781394
merge_sort,152641,100000,1867389,2.6818528175354004,1652160008.4602914
radix_sort,255,10000000,1785,0.007932424545288086,1652160008.5649674
radix_sort,19306,100,38612,0.1533968448638916,1652160008.7187977
merge_sort,954,100000,6416,0.015080928802490234,1652160008.7484593
radix_sort,212,10,212,0.0010418891906738281,1652160008.7506342
radix_sort,175,10000000,1225,0.005381584167480469,1652160008.7563248
quick_sort,542,10000000,4824,0.004186391830444336,1652160010.2168567
quick_sort,308,100,3010,0.005076408386230469,1652160010.2225645
quick_sort,1151,1000,13401,0.012948036193847656,1652160010.2358253
quick_sort,10985,100000,167197,0.11163449287414551,1652160010.3482387
quick_sort,686648,100000,16879011,10.72765040397644,1652160021.0796027
quick_sort,568986,1000,169357292,36.76090908050537,1652160058.020338
quick_sort,1389,100,20036,0.008305072784423828,1652160058.1647818
merge_sort,449,100,2632,0.002616405487060547,1652160058.167898
radix_sort,255,1000,765,0.0011200904846191406,1652160058.1692238
merge_sort,100,1000,454,0.0004782676696777344,1652160058.1699026
quick_sort,828642,1000,354193137,74.56420922279358,1652160132.7353344
merge_sort,126485,100,1774716,1.1958417892456055,1652160134.1322982
merge_sort,568986,100,9278589,6.170110702514648,1652160140.3344505
radix_sort,568986,100,1137972,1.533820390701294,1652160142.0097241
merge_sort,86851,10,1209796,0.8187084197998047,1652160142.9668424
merge_sort,33932,1000,391422,0.27303552627563477,1652160143.2612133
merge_sort,323745,10000000,4274406,2.924862861633301,1652160146.1946468
quick_sort,6250,10,1978197,0.4839160442352295,1652160146.7576134
radix_sort,954,10000000,6678,0.009152412414550781,1652160146.7684367
radix_sort,13257,1000,39771,0.061292409896850586,1652160146.8300707
quick_sort,2947,10,445488,0.1000814437866211,1652160146.934925
quick_sort,4291,10,936609,0.20043206214904785,1652160147.1362357
radix_sort,255,10,255,0.00038743019104003906,1652160147.1378186
radix_sort,2023,10000000,14161,0.02010941505432129,1652160147.1580656
radix_sort,372,100,744,0.0009944438934326172,1652160147.1597042
radix_sort,3556,100,7112,0.012488842010498047,1652160147.172382
merge_sort,59636,10,818529,0.5677556991577148,1652160147.7412415
quick_sort,449,10,11765,0.003245115280151367,1652160147.7589319
quick_sort,255,10000000,2327,0.0011341571807861328,1652160147.760249
radix_sort,49417,100000,247085,0.3525815010070801,1652160148.1130068
merge_sort,1676,10000000,12102,0.011504173278808594,1652160148.1382961
radix_sort,655,100000,3275,0.004580259323120117,1652160148.1434827
quick_sort,449,100,4311,0.002257108688354492,1652160148.1460407
quick_sort,268269,10000000,5905987,3.1192331314086914,1652160151.2658145
radix_sort,2947,100,5894,0.007534027099609375,1652160151.3380768
merge_sort,1676,100000,12325,0.011160612106323242,1652160151.350049
radix_sort,33932,10000000,237524,0.3412597179412842,1652160151.6927092
merge_sort,100,100,491,0.00045371055603027344,1652160151.7031028
radix_sort,542,100000,2710,0.005303144454956055,1652160151.708514
quick_sort,1676,10,147303,0.039942026138305664,1652160151.7487302
radix_sort,1389,100000,6945,0.009375333786010742,1652160151.758711
merge_sort,152641,10,2214198,1.590242624282837,1652160153.349571
quick_sort,86851,10000000,1745065,0.8387517929077148,1652160154.2267601
radix_sort,790,100,1580,0.0020422935485839844,1652160154.2500925
merge_sort,255,10,1611,0.0012891292572021484,1652160154.2516563
quick_sort,100,10000000,635,0.0003476142883300781,1652160154.2521381
