algorithm,N,k,comparisons,time,entry_time
radix_sort,786440,9500000,5505080,7.719746351242065,1654657384.360938
radix_sort,325426,2000000,2277982,3.145238161087036,1654657387.698678
radix_sort,67801,500000000,610209,0.8199319839477539,1654657388.600402
radix_sort,705085,3000000000,7050850,9.600040197372437,1654657398.2265942
radix_sort,149156,2000000,1044092,1.4144458770751953,1654657399.814315
radix_sort,745763,10500,3728815,5.030933141708374,1654657404.8947122
radix_sort,40682,50,81364,0.10310912132263184,1654657405.1787853
radix_sort,515256,950,1545768,2.1671042442321777,1654657407.3594925
radix_sort,54241,20000,271205,0.3581094741821289,1654657407.8420424
radix_sort,569492,800000000,5125428,7.019484996795654,1654657414.8814821
radix_sort,230512,14,461024,0.5772705078125,1654657415.597359
radix_sort,393222,20000000,3145776,4.2684221267700195,1654657419.9292872
radix_sort,230512,800,691536,0.9429857730865479,1654657420.9694214
radix_sort,230512,140000,1383072,1.871797800064087,1654657422.9029996
radix_sort,216952,105000,1301712,1.720881700515747,1654657424.6844003
radix_sort,732203,105,2196609,2.9592063426971436,1654657427.7057912
radix_sort,216952,20,433904,0.5482134819030762,1654657428.4358163
radix_sort,610170,14,1220340,1.5405316352844238,1654657430.03371
radix_sort,745763,200000,4474578,5.949014186859131,1654657436.140349
radix_sort,108478,3000000000,1084780,1.4859614372253418,1654657437.8081086
radix_sort,311867,80000,1559335,2.114518165588379,1654657439.9545822
radix_sort,352545,2000000,2467815,3.397094488143921,1654657443.4292126
radix_sort,501696,80000,2508480,3.422969102859497,1654657446.9496622
radix_sort,596611,950000,3579666,4.7595436573028564,1654657451.8564966
radix_sort,366104,14,732208,0.9212679862976074,1654657452.9247491
radix_sort,189834,20000,949170,1.2806439399719238,1654657454.2975726
radix_sort,27123,1050000000,271230,0.35829639434814453,1654657454.7016456
radix_sort,162715,8000,650860,0.8481185436248779,1654657455.5574892
radix_sort,338985,8000,1355940,1.8003695011138916,1654657457.3992536
radix_sort,379663,3000000,2657641,3.6446118354797363,1654657461.1313536
radix_sort,149156,140000000,1342404,1.8391847610473633,1654657463.0678794
radix_sort,623729,500000,3742374,5.009239435195923,1654657468.1183543
radix_sort,271189,300000000,2440701,3.3466436862945557,1654657471.6208158
radix_sort,230512,500000000,2074608,2.852276563644409,1654657474.540155
radix_sort,122038,950,366114,0.49597787857055664,1654657475.0930018
radix_sort,338985,950000000,3050865,4.205767869949341,1654657479.3309815
radix_sort,13564,80000000,108512,0.14063453674316406,1654657479.5533984
radix_sort,338985,2000,1355940,1.769080638885498,1654657481.3280106
radix_sort,691526,200000000,6223734,8.572865962982178,1654657489.990916
radix_sort,745763,10500000,5966104,8.041764736175537,1654657498.216953
radix_sort,664407,1050000000,6644070,9.043373823165894,1654657507.4437666
radix_sort,732203,800,2196609,3.025752544403076,1654657510.6381757
radix_sort,81360,200,244080,0.32667112350463867,1654657511.1446295
radix_sort,379663,800000000,3416967,4.714371204376221,1654657515.883265
radix_sort,244071,200000000,2196639,3.0245490074157715,1654657519.004222
radix_sort,244071,950,732213,0.997467041015625,1654657520.0657294
radix_sort,122038,50000000,976304,1.3027732372283936,1654657521.429239
radix_sort,27123,1400000,189861,0.25489163398742676,1654657521.7146008
radix_sort,555933,200000000,5003397,6.886578321456909,1654657528.6147304
radix_sort,40682,5000000,284774,0.38381433486938477,1654657529.1354678
radix_sort,610170,500000000,5491530,7.563143730163574,1654657536.7131212
radix_sort,67801,1400000,474607,0.7379381656646729,1654657537.5986104
radix_sort,176275,3000000,1233925,1.6899445056915283,1654657539.3073485
radix_sort,366104,140000,2196624,2.949946403503418,1654657542.3079624
radix_sort,203393,800000,1220358,1.6278419494628906,1654657544.0305102
radix_sort,379663,2000000000,3796630,5.148184061050415,1654657549.2307713
radix_sort,13564,20,27128,0.03663372993469238,1654657549.362927
radix_sort,515256,3000,2061024,2.6976065635681152,1654657552.0705268
radix_sort,338985,3000000,2372895,3.27413010597229,1654657555.4786165
radix_sort,298308,800,894924,1.225677728652954,1654657556.789755
radix_sort,94919,5000000,664433,0.9180965423583984,1654657557.7824116
radix_sort,67801,95,135602,0.1707465648651123,1654657557.9778714
radix_sort,230512,800000,1383072,1.8330802917480469,1654657559.8301885
radix_sort,759322,5000000,5315254,7.33487343788147,1654657567.236278
radix_sort,759322,10500,3796610,5.147550344467163,1654657572.5825994
radix_sort,501696,105,1505088,2.0234415531158447,1654657574.8200102
radix_sort,298308,1400,1193232,1.586207628250122,1654657576.5308998
radix_sort,244071,1400,976284,1.3064944744110107,1654657577.9147556
radix_sort,515256,10,515256,0.7248361110687256,1654657578.7075038
radix_sort,786440,3000000000,7864400,10.622715950012207,1654657589.4662008
radix_sort,135597,140000,813582,1.0862910747528076,1654657590.7488635
radix_sort,27123,95000,135615,0.18106508255004883,1654657590.9630775
radix_sort,447459,1400,1789836,2.358071804046631,1654657593.3343825
radix_sort,108478,10,108478,0.15317964553833008,1654657593.5968373
radix_sort,352545,10500000,2820360,3.801140069961548,1654657597.4303303
radix_sort,54241,95000000,433928,0.5921878814697266,1654657598.1085105
radix_sort,108478,5000000,759346,1.0156004428863525,1654657599.1395702
radix_sort,122038,5000000,854266,1.2047913074493408,1654657600.3730266
radix_sort,691526,1050000,4840682,6.832605361938477,1654657607.2573984
radix_sort,5,200000,30,9.5367431640625e-05,1654657607.4252493
radix_sort,406782,20000000,3254256,4.415472745895386,1654657611.8484435
radix_sort,271189,30000,1355945,1.8192050457000732,1654657613.7667978
radix_sort,406782,8000000,2847474,3.850832939147949,1654657617.6855235
radix_sort,54241,950000,325446,0.43288516998291016,1654657618.2410684
radix_sort,610170,10,610170,0.8634777069091797,1654657619.128255
radix_sort,393222,95,786444,1.0123622417449951,1654657620.2907636
radix_sort,13564,500000,81384,0.10274672508239746,1654657620.4880579
