algorithm,N,k,comparisons,time,entry_time
merge_sort,203393,5568,2722238,2.118486166000366,1654835553.6260183
merge_sort,406782,17957144,5346495,4.185762166976929,1654835557.8744824
merge_sort,67801,1941,839717,0.6535999774932861,1654835558.6456008
merge_sort,732203,1536174,10425412,7.933314323425293,1654835566.6094306
merge_sort,81360,10,1055191,0.9045641422271729,1654835567.7175505
merge_sort,271189,3486365227,3549180,2.727006435394287,1654835570.4697042
merge_sort,54241,14,725063,0.5660343170166016,1654835571.1207352
merge_sort,718644,7912,10880939,8.351540327072144,1654835579.4932046
merge_sort,94919,535566,1149612,1.0160129070281982,1654835580.7234511
merge_sort,230512,1726983290,2932718,2.314236879348755,1654835583.0661304
merge_sort,569492,14,9202175,6.953082799911499,1654835590.1480362
merge_sort,216952,11242,2888115,2.237671136856079,1654835592.542892
merge_sort,759322,4953535208,10331183,7.913722038269043,1654835600.5402045
merge_sort,691526,92491,9610126,7.447676181793213,1654835608.2153542
merge_sort,718644,22695,10876651,8.38657808303833,1654835616.8070312
merge_sort,81360,10000000000,938919,0.7438144683837891,1654835617.762745
merge_sort,176275,209910372,2305942,1.7896296977996826,1654835619.5754845
merge_sort,542374,28,9025144,6.817513942718506,1654835626.44804
merge_sort,542374,45815,7707869,5.8883936405181885,1654835632.5079374
merge_sort,81360,8895134,966541,0.7606356143951416,1654835633.424756
merge_sort,311867,57,4874600,3.742069721221924,1654835637.192458
merge_sort,528815,209910372,7343065,5.653374910354614,1654835642.9372213
merge_sort,637289,265294,8951118,6.954848766326904,1654835650.06874
merge_sort,461019,235,7195861,5.485033988952637,1654835655.7449813
merge_sort,284748,57,4391525,3.3549559116363525,1654835659.2319818
merge_sort,569492,1081180,7930052,6.285481929779053,1654835665.6099813
merge_sort,216952,10,3302320,2.5590529441833496,1654835668.331895
merge_sort,420341,2453751106,5524887,4.508974552154541,1654835672.9093487
merge_sort,732203,8895134,10703086,8.401800394058228,1654835681.4445515
merge_sort,433900,3101168,5812233,4.658008575439453,1654835686.3294032
merge_sort,677966,209910372,9464847,7.282538890838623,1654835693.7473428
merge_sort,759322,51506780,10690154,8.285400629043579,1654835702.2760804
merge_sort,230512,2182644,3042394,2.4170331954956055,1654835704.9125795
merge_sort,691526,2453751106,9642496,7.519867181777954,1654835712.5396585
merge_sort,257630,6260516,3207439,2.591353416442871,1654835715.3326938
merge_sort,596611,6260516,8297704,6.426724433898926,1654835721.837995
merge_sort,27123,298247128,287718,0.23861193656921387,1654835722.241175
merge_sort,338985,73182422,4542379,3.568002223968506,1654835725.8240266
merge_sort,81360,376939,930959,0.7581429481506348,1654835726.6763358
merge_sort,108478,6260516,1280829,1.0350048542022705,1654835727.7338345
merge_sort,271189,1366,3892413,3.013972043991089,1654835730.7811604
merge_sort,555933,298247128,7537733,5.88929295539856,1654835736.759455
merge_sort,433900,28,7021886,5.281656503677368,1654835742.2022622
merge_sort,5,423758716,6,2.2172927856445312e-05,1654835742.3274326
merge_sort,433900,1726983290,5794947,4.572093963623047,1654835746.9046433
merge_sort,745763,3101168,10673549,8.222148180007935,1654835755.2644107
merge_sort,352545,2453751106,4658562,3.584052085876465,1654835759.0675757
merge_sort,13564,298247128,133424,0.10941171646118164,1654835759.2883568
merge_sort,94919,2758,1175214,0.9229593276977539,1654835760.2163405
merge_sort,637289,5568,9615843,7.373812437057495,1654835767.6273682
merge_sort,393222,186718,5217631,4.040804862976074,1654835771.8539848
merge_sort,786440,2453751106,11223939,8.702733755111694,1654835780.679974
merge_sort,433900,3919,6363922,4.97563099861145,1654835785.8778298
merge_sort,366104,265294,4933703,3.8553669452667236,1654835789.8577185
merge_sort,569492,10,9462833,7.158844232559204,1654835797.1310592
merge_sort,474578,22695,6583362,5.060787200927734,1654835802.3655589
merge_sort,352545,116,5489475,4.512686491012573,1654835807.0829651
merge_sort,271189,92491,3415300,3.571320056915283,1654835810.8584218
merge_sort,569492,3101168,7722588,6.823726654052734,1654835817.7766461
merge_sort,623729,1726983290,8810022,7.978668212890625,1654835825.9176629
merge_sort,189834,476,2698721,2.7819323539733887,1654835828.9434729
merge_sort,474578,2182644,6427701,6.0686845779418945,1654835835.0947702
merge_sort,311867,855467253,4209743,3.3485875129699707,1654835838.594597
merge_sort,230512,28,3553845,2.7262351512908936,1654835841.4046872
merge_sort,27123,20,337941,0.26375484466552734,1654835841.728832
merge_sort,311867,6260516,4167580,3.0939407348632812,1654835844.8368504
merge_sort,488137,17957144,6481117,5.024776220321655,1654835849.9645529
merge_sort,433900,1215474250,5821613,4.319833993911743,1654835854.4326353
merge_sort,610170,855467253,8582583,6.536852598190308,1654835861.0919702
merge_sort,162715,10000000000,2039472,1.5761981010437012,1654835862.8376534
merge_sort,13564,57,150399,0.11559414863586426,1654835862.996555
merge_sort,732203,3101168,10071018,7.798328876495361,1654835870.8146305
merge_sort,569492,7912,8421838,6.32568097114563,1654835877.3475058
